College,Rank,Title,Name
Adelphi University,153Tie,President,Christine Riordan
Adelphi University,153Tie,Provost,Gayle D. Insler
Alliant International University,Unranked,President,Andy Vaughn
Alliant International University,Unranked,Provost,Tracy Heller
American University,72Tie,President,Neil Kerwin
American University,72Tie,Provost,Scott A. Bass
Andrews University,175Tie,President,Niels-Erik Andreasen
Andrews University,175Tie,Provost,Andrea Luxton
Argosy University,Unranked,President,"Craig D. Swenson, PhD"
Ashland University,199Tie,President,Carlos Campo
Auburn University,102,President,"Jay Gogue, Ph.D."
Auburn University,102,Provost,Timothy R. Boosinger
Azusa Pacific University,175Tie,President,Jon R. Wallace
Azusa Pacific University,175Tie,Provost,Mark Stanton
Ball State University,168Tie,President,Terry King (acting)
Barry University,RNP,President,"Sr Linda Bevilacqua, OP, PhD"
Baylor University,72Tie,President,Kenneth Winston Starr
Baylor University,72Tie,Provost,Todd Still (Interim)
Benedictine University,RNP,President,Michael S. Brophy
Benedictine University,RNP,Provost,Maria de la Camara
Binghamton University--SUNY,89Tie,President,Harvey G. Stenger
Biola University,161Tie,President,"Barry H. Corey, Ph.D"
Biola University,161Tie,Provost,Deborah Taylor
Boston College,30Tie,President,"Rev. William P. Leahy, S.J."
Boston University,41Tie,President,Robert A. Brown
Boston University,41Tie,Provost,Jean Morrison
Bowie State University,RNP,President,"Mickey L. Burnim, PhD"
Bowie State University,RNP,Provost,"Weldon Jackson, PhD. (Provost and Vice President for Academic Affairs)"
Bowling Green State University,185Tie,President,Mary Ellen Mazey
Bowling Green State University,185Tie,Provost,Rodney Rogers
Brandeis University,34Tie,President,Lisa M. Lynch (interim)
Brandeis University,34Tie,Provost,Irving R. Epstein (interim)
Brigham Young University--Provo,66Tie,President,Kevin J Worthen
Brown University,14,Chancellor,Thomas J. Tisch
Brown University,14,Provost,Richard M. Locke
Brown University,14,President,Christina Hull Paxson
California Institute of Integral Studies,Unranked,President,Joseph L. Subbiondo
California Institute of Technology,10Tie,President,Thomas F. Rosenbaum
Capella University,Unranked,President,Scott Kinney
Cardinal Stritch University,RNP,Chancellor,"Sister Camille Kliebhan, OSF"
Cardinal Stritch University,RNP,President,James P. Loftus
Carnegie Mellon University,23Tie,President,Subra Suresh
Carnegie Mellon University,23Tie,Provost,Farnam Jahanian
Case Western Reserve University,37Tie,President,Barbara R. Snyder
Central Michigan University,194Tie,President,George E. Ross
Clark Atlanta University,RNP,President,"Ronald A. Johnson, Ph.D."
Clark University,75Tie,President,David Angel
Clarkson University,115Tie,President,Anthony G. Collins
Clarkson University,115Tie,Provost,Chuck Thorpe
Clemson University,61Tie,President,James P. Clements
Clemson University,61Tie,Provost,Robert H. Jones
Cleveland State University,RNP,President,Ronald M. Berkman
Cleveland State University,RNP,Provost,Deirdre M. Mageean
College of William and Mary,34Tie,Chancellor,Robert M. Gates '65
College of William and Mary,34Tie,Provost,Michael R. Halleran
College of William and Mary,34Tie,President,W. Taylor Reveley III
Colorado State University,127Tie,Chancellor,Michael V. Martin
Colorado State University,127Tie,President,Tony Frank
